id,name,summary,dependencies
org.eclipse.scava.factoid.bugs.channelusage.BugsChannelUsageFactoid,Bug Tracker Usage,summaryblah,"['org.eclipse.scava.metricprovider.historic.bugs.newbugs.NewBugsHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.bugs.comments.CommentsHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.bugs.patches.PatchesHistoricMetricProvider']"
org.eclipse.scava.factoid.bugs.emotion.BugsChannelEmotionFactoid,Bug Tracker Emotion,summaryblah,['org.eclipse.scava.metricprovider.trans.bugs.emotions.EmotionsTransMetricProvider']
org.eclipse.scava.factoid.bugs.hourly.BugsChannelHourlyFactoid,Bug Tracker Hourly,summaryblah,['org.eclipse.scava.metricprovider.trans.bugs.hourlyrequestsreplies.HourlyRequestsRepliesTransMetricProvider']
org.eclipse.scava.factoid.bugs.responsetime.BugsChannelResponseTimeFactoid,Bug Tracker Response Time,summaryblah,['org.eclipse.scava.metricprovider.historic.bugs.responsetime.ResponseTimeHistoricMetricProvider']
org.eclipse.scava.factoid.bugs.sentiment.BugsChannelSentimentFactoid,Bug Tracker Sentiment,summaryblah,['org.eclipse.scava.metricprovider.historic.bugs.sentiment.SentimentHistoricMetricProvider']
org.eclipse.scava.factoid.bugs.severity.BugsChannelSeverityFactoid,Bug Tracker Severity,summaryblah,"['org.eclipse.scava.metricprovider.historic.bugs.severity.SeverityHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.bugs.severitybugstatus.SeverityBugStatusHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.bugs.severityresponsetime.SeverityResponseTimeHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.bugs.severitysentiment.SeveritySentimentHistoricMetricProvider']"
org.eclipse.scava.factoid.bugs.size.BugsChannelSizeFactoid,Bug Tracker Size,summaryblah,"['org.eclipse.scava.metricprovider.historic.bugs.newbugs.NewBugsHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.bugs.comments.CommentsHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.bugs.patches.PatchesHistoricMetricProvider']"
org.eclipse.scava.factoid.bugs.status.BugsChannelStatusFactoid,Bug Tracker Status,summaryblah,['org.eclipse.scava.metricprovider.historic.bugs.status.StatusHistoricMetricProvider']
org.eclipse.scava.factoid.bugs.threadlength.BugsChannelThreadLengthFactoid,Bug Tracker Thread Length,summaryblah,['org.eclipse.scava.metricprovider.historic.bugs.bugs.BugsHistoricMetricProvider']
org.eclipse.scava.factoid.bugs.users.BugsChannelUsersFactoid,Bug Tracker Users,summaryblah,"['org.eclipse.scava.metricprovider.historic.bugs.users.UsersHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.bugs.bugs.BugsHistoricMetricProvider']"
org.eclipse.scava.factoid.bugs.weekly.BugsChannelWeeklyFactoid,Bug Tracker Weekly,summaryblah,['org.eclipse.scava.metricprovider.trans.bugs.dailyrequestsreplies.DailyRequestsRepliesTransMetricProvider']
cocomo,Cocomo,COCOMO is crazy.,[]
org.eclipse.scava.factoid.newsgroups.channelusage.NewsgroupsChannelUsageFactoid,Newsgroup Channel Usage,summaryblah,"['org.eclipse.scava.metricprovider.historic.newsgroups.articles.ArticlesHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.newsgroups.newthreads.NewThreadsHistoricMetricProvider']"
org.eclipse.scava.factoid.newsgroups.emotion.NewsgroupsChannelEmotionFactoid,Newsgroup Channel Emotion,This plugin generates the factoid regarding emotions for newsgroups,['org.eclipse.scava.metricprovider.trans.newsgroups.emotions.EmotionsTransMetricProvider']
org.eclipse.scava.factoid.newsgroups.hourly.NewsgroupsChannelHourlyFactoid,Newsgroup Channel Hourly,summaryblah,['org.eclipse.scava.metricprovider.trans.newsgroups.hourlyrequestsreplies.HourlyRequestsRepliesTransMetricProvider']
org.eclipse.scava.factoid.newsgroups.responsetime.NewsgroupsChannelResponseTimeFactoid,Newsgroup Channel Response Time,summaryblah,['org.eclipse.scava.metricprovider.historic.newsgroups.responsetime.ResponseTimeHistoricMetricProvider']
org.eclipse.scava.factoid.newsgroups.sentiment.NewsgroupsChannelSentimentFactoid,Newsgroup Channel Sentiment,summaryblah,['org.eclipse.scava.metricprovider.historic.newsgroups.sentiment.SentimentHistoricMetricProvider']
org.eclipse.scava.factoid.newsgroups.severity.NewsgroupsChannelSeverityFactoid,Newsgroup Channel Severity,summaryblah,"['org.eclipse.scava.metricprovider.historic.newsgroups.severityresponsetime.SeverityResponseTimeHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.newsgroups.severity.SeverityHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.newsgroups.severitysentiment.SeveritySentimentHistoricMetricProvider']"
org.eclipse.scava.factoid.newsgroups.size.NewsgroupsChannelSizeFactoid,Newsgroup Channel Size,summaryblah,"['org.eclipse.scava.metricprovider.historic.newsgroups.articles.ArticlesHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.newsgroups.newthreads.NewThreadsHistoricMetricProvider']"
org.eclipse.scava.factoid.newsgroups.status.NewsgroupsChannelStatusFactoid,Newsgroup Channel Status,summaryblah,"['org.eclipse.scava.metricprovider.historic.newsgroups.unansweredthreads.UnansweredThreadsHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.newsgroups.requestsreplies.RequestsRepliesHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.newsgroups.requestsreplies.average.RequestsRepliesAverageHistoricMetricProvider']"
org.eclipse.scava.factoid.newsgroups.threadlength.NewsgroupsChannelThreadLengthFactoid,Newsgroup Channel Thread Length,summaryblah,['org.eclipse.scava.metricprovider.historic.newsgroups.threads.ThreadsHistoricMetricProvider']
org.eclipse.scava.factoid.newsgroups.users.NewsgroupsChannelUsersFactoid,Newsgroup Channel Users,summaryblah,"['org.eclipse.scava.metricprovider.historic.newsgroups.users.UsersHistoricMetricProvider', 'org.eclipse.scava.metricprovider.historic.newsgroups.threads.ThreadsHistoricMetricProvider']"
org.eclipse.scava.factoid.newsgroups.weekly.NewsgroupsChannelWeeklyFactoid,Newsgroup Channel Weekly,summaryblah,['org.eclipse.scava.metricprovider.trans.newsgroups.dailyrequestsreplies.DailyRequestsRepliesTransMetricProvider']
style.errorProneFactoid,Error proneness,"Explains what the impact of error prone style violations is for the project. If problems are widespread this may be a quality contra-indicator, while a localized problem could be easily fixed.","['style.filesWithErrorProneness', 'style.spreadOfErrorProneness', 'style.filesWithErrorProneness.historic']"
style.understandabilityFactoid,Code understandability,"Explains what the impact of code understandability style violations is for the project. If problems are widespread this may be a quality contra-indicator, while a localized problem could be easily fixed.","['style.filesWithUnderstandabilityIssues', 'style.spreadOfUnderstandabilityIssues', 'style.filesWithUnderstandabilityIssues.historic']"
style.inefficientStringsFactoid,Inefficient string management,"Explains what the impact of inefficient string management is for the project. If problems are widespread this may be a quality contra-indicator, while a localized problem could be easily fixed.","['style.filesWithInefficiencies.historic', 'style.spreadOfInefficiencies', 'style.filesWithInefficiencies']"
trans.rascal.CC.java.CCJavaFactoid,Cyclomatic Complexity for Java,The cyclometic complexity of the project's Java code indicates on the lowest code level (inside the body of methods) how hard the code to test is and also provides contra indications for underdstandability.,['trans.rascal.CC.java.CCHistogramJava']
trans.rascal.LOC.codeSize,Code Size,"The size/volume of a system is telling for the expected complexity and cost of ownership. The type and number of programming languages used also indicate
complexity and the kind of expertise needed to maintain the system. We combine this information with the number of people working on the project because a large
project is expected to be supported by a large community.","['trans.rascal.activecommitters.projectAge', 'trans.rascal.activecommitters.numberOfActiveCommittersLongTerm', 'trans.rascal.LOC.locPerLanguage']"
trans.rascal.clones.cloneCode,Code Cloning,"The amount of code in the project in Type I clones larger than 6 lines. A Type I clone is a literal clone. If a considerable part of a large project 
consists of cloned code there may be maintainability risks.","['trans.rascal.clones.cloneLOCPerLanguage', 'trans.rascal.LOC.locPerLanguage']"
trans.rascal.readability.ReadabilityFactoid,Use of whitespace,"We measure file readability by counting exceptions to common usage of whitespace in source code, such as spaces after commas. We find out  
how many of the files have how many of these deviations. A few deviations per file is ok, but many files with many deviations indicates a
lack of attention to readability.",['trans.rascal.readability.fileReadability']
rascal.testability.java.JavaUnitTestCoverage,Java unit test coverage,"How well do the project's unit tests cover its code? A static approximation is done, measuring the code which would be executed if all JUnit tests are run. 
This analysis may produce a higher number than a dynamic analysis would (due to dynamic dispatch and overriding) but it indicates bad coverage easily and it follows the trend.","['rascal.testability.java.TestOverPublicMethods', 'rascal.testability.java.TestCoverage', 'rascal.testability.java.TestCoverage.historic']"
trans.rascal.comments.commentPercentage,Percentage of lines with comments (excluding headers),"The balance between comments and code indicates understandability. Too many comments are often not maintained and may lead to confusion, not enough means the code lacks documentation explaining its intent.","['trans.rascal.comments.commentLinesPerLanguage', 'trans.rascal.LOC.locPerLanguage']"
trans.rascal.comments.headerUse,Consistency of header use,In principle it is expected for the files in a project to share the same license. The license text in the header of each file may differ slightly due to different copyright years and or lists of contributors. We find out how many different types of header files are used and if the distribution is flat or focused on a single distribution. The difference is between  a clear and simple license for the entire project or a confusing licensing scheme with possible juridical consequences.,"['trans.rascal.comments.matchingLicenses', 'trans.rascal.comments.headerCounts', 'trans.rascal.comments.headerPercentage']"
trans.rascal.comments.percentageCommentedOutCode,Percentage of commented out code,"Commented-out code, in large quantities, is a contra-indicator for quality being a sign of experimental code or avoiding the use of a version control system.","['trans.rascal.comments.commentedOutCodePerLanguage', 'trans.rascal.LOC.locPerLanguage']"
trans.rascal.OO.java.Cohesion-Java,Java cohesion,Java cohesion,['trans.rascal.OO.java.LCOM4-Java']
trans.rascal.OO.java.Coupling-Java,Java coupling,"Coupling between Java classes counts dependencies between class definitions. The higher the coupling between classes, the harder a system is to test and to maintain.",['trans.rascal.OO.java.CBO-Java']
rascal.generic.churn.commitSize,Commit frequency and size,"The activity of a project is characterized by the number of contributions per time unit and their size. We also report on the size of each unit of work (commit) size. Commits should not be to big all the time, because that would indicate either that programmers are not focusing on well-defined tasks or that the system architecture does not allow for separation of concerns.","['rascal.generic.churn.churnPerCommitInTwoWeeks.historic', 'rascal.generic.churn.churnPerCommitInTwoWeeks']"
rascal.generic.churn.churnVolume,Churn Volume,Reporting how much work is actually done to the system currently and in the last six months.,"['rascal.generic.churn.churnInTwoWeeks', 'rascal.generic.churn.churnInTwoWeeks.historic']"
rascal.generic.churn.commitLocality,Commit locality,"Find out if commits are usually local to a file or widespread over the system. If the commits are widespread this can mean either a problem with 
separation of concerns in the architecture of the system, or that the developers are not concentrating on one task at the same time.",['rascal.generic.churn.filesPerCommit.historic']
